Certainty.to.vote.in.general.election.10.is.certain,GEVote,DidyouvoteGE2015,Past.vote,Eurefvote,Certainty.to.vote.in.EU.referendum.10.is.certain,Gender,Age,Region,Ethnicity,Education,Housing,mosaic_2014_groups,parliamentary_constituency,local_authority
2,Dont.know,Yes.I.voted,Labour,Dont.know,10,Female,69,London,White,Level.1,Owned.with.a.mortgage.or.loan,E,E14000569,E06000047
10,Labour,Yes.I.voted,Labour,Remain,"",Female,23,Wales,White,Level.4,Rented.from.private.landlord,H,W07000078,W06000014
10,Dont.know,Yes.I.voted,blank,Leave,10,Prefer.not.to.say,30,South.West,Prefer.not.to.say,Level.3,Rented.from.Housing.Association,K,E14000602,E06000023
10,Dont.know,Yes.I.voted,Conservative,"","",Female,40,South.East,White,Level.4,Being.bought.on.a.mortgage,C,E14001023,E07000065
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,28,North.West,White,Level.4,Owned.with.a.mortgage.or.loan,F,E14000708,E08000012
10,Labour,Yes.I.voted,Labour,Leave,10,Male,31,Scotland,White,No.qualifications,Owned.outright.by.household,I,E14000999,E06000027
10,Labour,Yes.I.voted,Labour,"","",Female,73,West.Midlands,White,Other,Owned.outright.by.household,E,E14001051,E08000031
10,Labour,Yes.I.voted,Labour,Remain,10,Female,67,North.West,White,Level.1,Shared.ownership.part.owned.and.part.rented,M,E14000763,E09000019
"",Plaid.Cymru.-.the.Welsh.Nationalists,Yes.I.voted,Plaid.Cymru-.the.Welsh.Nationalists,Remain,10,Male,57,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,M,W07000076,W06000018
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,29,North.West,White,No.qualifications,Owned.with.a.mortgage.or.loan,J,S14000008,S12000026
10,Labour,Yes.I.voted,Labour,Remain,"",Male,55,West.Midlands,White,Level.4,Being.bought.on.a.mortgage,M,S14000044,S12000040
9,UKIP,Yes.I.voted,UKIP,Remain,9,Male,52,Scotland,White,Level.3,Owned.with.a.mortgage.or.loan,F,E14000883,E06000044
7,Labour,Yes.I.voted,Labour,Remain,7,Female,52,North.West,White,Level.3,Being.bought.on.a.mortgage,F,E14000796,E08000012
"",Labour,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,52,Scotland,White,No.qualifications,Prefer.not.to.say,O,S14000034,S12000046
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,66,East.of.England,White,Level.4,Owned.outright.by.household,J,E14000878,E06000031
"",Green.Party,Yes.I.voted,Labour,Leave,10,Male,41,London,White,Level.2,Owned.with.a.mortgage.or.loan,A,E14000703,E09000003
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,73,South.West,White,0,Owned.outright.by.household,E,E14000999,E06000027
5,Labour,Yes.I.voted,Labour,"","",Female,49,North.West,White,Level.1.or.2,Rented.from.private.landlord,I,E14000647,E07000029
10,Green.Party,No.I.was.ineligible.to.vote.in.that.General.Election,0,"","",Female,27,South.East,White,Level.4,Rented.from.private.landlord,O,E14001042,E06000040
8,Conservative,Yes.I.voted,Conservative,"","",Male,38,East.Midlands,White,Level.4,Being.bought.on.a.mortgage,G,E14000710,E07000173
"",UKIP,Yes.I.voted,Labour,Leave,10,Male,56,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,J,W07000047,W06000011
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,40,South.West,White,Level.1,Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency,C,E14000964,E06000052
"",UKIP,Yes.I.voted,UKIP,Leave,1,Male,59,Wales,White,No.qualifications,Owned.outright.by.household,F,W07000045,W06000010
10,Green.Party,Yes.I.voted,Green.Party,Remain,10,Male,72,East.of.England,White,No.formal.qualifications,Owned.outright.by.household,M,E14000842,E07000010
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,"",Female,67,Scotland,White,No.formal.qualifications,Owned.outright.by.household,M,S14000038,S12000018
8,Conservative,Yes.I.voted,Conservative,Leave,10,Female,32,East.Midlands,White,Level.4,Being.bought.on.a.mortgage,O,E14000714,E07000141
8,Conservative,Yes.I.voted,Conservative,Leave,8,Male,43,London,White,Level.1,Owned.outright.by.household,A,E14000636,E09000003
5,Conservative,No.I.chose.not.to.vote,"",Dont.know,5,Female,69,South.West,White,Level.1,Owned.with.a.mortgage.or.loan,E,E14000981,E07000205
Dont.know,Labour,Yes.I.voted,Labour,Remain,"",Female,51,West.Midlands,Asian/Asian.British,Other,Rented.from.Housing.Association,J,E14000973,E06000021
10,Labour,Yes.I.voted,Labour,"","",Male,70,South.East,White,Level.3,Owned.outright.by.household,D,E14000534,E07000225
10,Labour,Yes.I.voted,Labour,Remain,"",Male,54,West.Midlands,White,Level.4,Being.bought.on.a.mortgage,F,E14000640,E06000050
9,Labour,Yes.I.voted,Labour,Remain,10,Female,24,London,Asian/Asian.British,Level.4,Owned.with.a.mortgage.or.loan,O,E14001013,E09000031
"",Conservative,Yes.I.voted,Dont.remember,Leave,10,Male,69,Wales,White,Level.2,Owned.outright.by.household,F,W07000043,W06000005
10,Green.Party,Yes.I.voted,Green.Party,Remain,"",Female,44,London,White,Level.3,Owned.outright.by.household,I,E14000540,E09000002
"",Conservative,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,75,Scotland,White,Level.2,Owned.outright.by.household,M,S14000004,S12000041
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,43,North.East,White,Level.2,Owned.with.a.mortgage.or.loan,I,E14000895,E07000166
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,61,Scotland,White,0,Owned.outright.by.household,B,S14000010,S12000028
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,42,Scotland,White,0,Owned.with.a.mortgage.or.loan,H,S14000001,S12000033
10,Labour,Yes.I.voted,Labour,Dont.know,Dont.know,Female,64,Wales,White,Other,Owned.outright.by.household,B,W07000050,W06000015
"",Conservative,No.I.chose.not.to.vote,"",Leave,10,Male,37,London,White,Level.2,Rented.from.council/local.authority,I,E14000696,E09000011
5,UKIP,Yes.I.voted,UKIP,Leave,10,Male,57,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,D,E14000939,E07000140
2,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Dont.know,Dont.know,Female,40,West.Midlands,White,0,Owned.outright.by.household,I,E14000618,E07000192
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,40,South.East,Asian/Asian.British,Level.4,Owned.with.a.mortgage.or.loan,"",E14000803,E06000040
